team_code,artifact,local_path,stage_relpath,bytes
L19,tdp_pdf_optional,teams/L19_Pharaoh/tdp.pdf,L19/tdp_pdf_optional.pdf,7429303
L20,team_photo,teams/L20_Pishnam/team_photo.jpg,L20/team_photo.jpg,3746087
L20,robot_photo,teams/L20_Pishnam/robot_photo.jpg,L20/robot_photo.jpg,1683388
L20,poster,teams/L20_Pishnam/poster.pdf,L20/poster.pdf,7314248
L20,video,teams/L20_Pishnam/video.mp4,L20/video.mp4,196045791
L20,video_thumbnail,teams/L20_Pishnam/video-thumbnail.png,L20/video_thumbnail.png,98808
L20,bom,teams/L20_Pishnam/bom.pdf,L20/bom.pdf,293624
L20,source_code,teams/L20_Pishnam/code.zip,L20/source_code.zip,697058
L20,tdp_pdf_optional,teams/L20_Pishnam/tdp.pdf,L20/tdp_pdf_optional.pdf,2072791
L21,team_photo,teams/L21_QuantumSpeed/team_photo.JPEG,L21/team_photo.JPEG,87920
L21,robot_photo,teams/L21_QuantumSpeed/robot_photo.jpg,L21/robot_photo.jpg,450672
L21,poster,teams/L21_QuantumSpeed/poster.pdf,L21/poster.pdf,6524106
L21,video,teams/L21_QuantumSpeed/video.mp4,L21/video.mp4,491077097
L21,video_thumbnail,teams/L21_QuantumSpeed/video-thumbnail.png,L21/video_thumbnail.png,210863
L21,bom,teams/L21_QuantumSpeed/bom.pdf,L21/bom.pdf,207150
L21,source_code,teams/L21_QuantumSpeed/code.zip,L21/source_code.zip,8270304
L21,tdp_pdf_optional,teams/L21_QuantumSpeed/tdp.pdf,L21/tdp_pdf_optional.pdf,1862646
L22,team_photo,teams/L22_Sleeping/team_photo.jpg,L22/team_photo.jpg,217511
L22,robot_photo,teams/L22_Sleeping/robot_photo.jpg,L22/robot_photo.jpg,3906796
L22,poster,teams/L22_Sleeping/poster.pdf,L22/poster.pdf,4305321
L22,video,teams/L22_Sleeping/video.mp4,L22/video.mp4,35216337
L22,video_thumbnail,teams/L22_Sleeping/video-thumbnail.png,L22/video_thumbnail.png,111194
L22,bom,teams/L22_Sleeping/bom.pdf,L22/bom.pdf,348462
L22,source_code,teams/L22_Sleeping/code.zip,L22/source_code.zip,4191275
L22,engineering_journal_optional,teams/L22_Sleeping/journal.pdf,L22/engineering_journal_optional.pdf,7716188
L23,team_photo,teams/L23_Smart/team_photo.jpg,L23/team_photo.jpg,1511371
L23,robot_photo,teams/L23_Smart/robot_photo.jpg,L23/robot_photo.jpg,1615583
L23,poster,teams/L23_Smart/poster.pdf,L23/poster.pdf,13221889
L23,video,teams/L23_Smart/video.mp4,L23/video.mp4,68809957
L23,video_thumbnail,teams/L23_Smart/video-thumbnail.png,L23/video_thumbnail.png,50806
L23,bom,teams/L23_Smart/bom.pdf,L23/bom.pdf,22890
L23,source_code,teams/L23_Smart/code.zip,L23/source_code.zip,176686
L24,team_photo,teams/L24_System Override/team_photo.jpg,L24/team_photo.jpg,1847685
L24,robot_photo,teams/L24_System Override/robot_photo.jpeg,L24/robot_photo.jpeg,2272769
L24,poster,teams/L24_System Override/poster.pdf,L24/poster.pdf,3379679
L24,video,teams/L24_System Override/video.mp4,L24/video.mp4,271072588
L24,video_thumbnail,teams/L24_System Override/video-thumbnail.png,L24/video_thumbnail.png,104995
L24,bom,teams/L24_System Override/bom.pdf,L24/bom.pdf,222189
L24,source_code,teams/L24_System Override/code.zip,L24/source_code.zip,24383
L24,tdp_pdf_optional,teams/L24_System Override/tdp.pdf,L24/tdp_pdf_optional.pdf,3317684
L25,team_photo,teams/L25_TOKAI Ghost/team_photo.jpg,L25/team_photo.jpg,358193
L25,robot_photo,teams/L25_TOKAI Ghost/robot_photo.jpg,L25/robot_photo.jpg,690067
L25,poster,teams/L25_TOKAI Ghost/poster.pdf,L25/poster.pdf,8920943
L25,video,teams/L25_TOKAI Ghost/video.mp4,L25/video.mp4,280841984
L25,video_thumbnail,teams/L25_TOKAI Ghost/video-thumbnail.png,L25/video_thumbnail.png,103999
L25,bom,teams/L25_TOKAI Ghost/bom.pdf,L25/bom.pdf,259890
